location,zika_total
TOLIMA,20
TOLIMA,13
TOLIMA,13
TOLIMA,0
TOLIMA,7
TOLIMA,6
TOLIMA,7
TOLIMA,2
TOLIMA,1
VALLE DEL CAUCA,1
VALLE DEL CAUCA,911
VALLE DEL CAUCA,11
VALLE DEL CAUCA,24
VALLE DEL CAUCA,33
VALLE DEL CAUCA,0
VALLE DEL CAUCA,8
VALLE DEL CAUCA,175
VALLE DEL CAUCA,10
VALLE DEL CAUCA,6
VALLE DEL CAUCA,3
VALLE DEL CAUCA,23
VALLE DEL CAUCA,170
VALLE DEL CAUCA,1
VALLE DEL CAUCA,2
VALLE DEL CAUCA,0
VALLE DEL CAUCA,13
VALLE DEL CAUCA,0
VALLE DEL CAUCA,15
VALLE DEL CAUCA,3
VALLE DEL CAUCA,3
VALLE DEL CAUCA,11
VALLE DEL CAUCA,0
VALLE DEL CAUCA,12
VALLE DEL CAUCA,0
VALLE DEL CAUCA,0
VALLE DEL CAUCA,261
VALLE DEL CAUCA,13
VALLE DEL CAUCA,3
VALLE DEL CAUCA,3
VALLE DEL CAUCA,173
VALLE DEL CAUCA,1
VALLE DEL CAUCA,3
VALLE DEL CAUCA,41
VALLE DEL CAUCA,2
VALLE DEL CAUCA,178
VALLE DEL CAUCA,1
VALLE DEL CAUCA,8
VALLE DEL CAUCA,29
VALLE DEL CAUCA,9
VALLE DEL CAUCA,355
VALLE DEL CAUCA,358
VALLE DEL CAUCA,46
ARAUCA,1
ARAUCA,87
ARAUCA,34
ARAUCA,0
ARAUCA,17
ARAUCA,0
ARAUCA,55
ARAUCA,9
CASANARE,7
CASANARE,217
CASANARE,50
CASANARE,3
CASANARE,2
CASANARE,0
CASANARE,3
CASANARE,61
CASANARE,3
CASANARE,11
CASANARE,6
CASANARE,2
CASANARE,0
CASANARE,0
CASANARE,0
CASANARE,3
CASANARE,0
CASANARE,50
CASANARE,3
CASANARE,33
PUTUMAYO,6
PUTUMAYO,27
PUTUMAYO,0
PUTUMAYO,11
PUTUMAYO,70
PUTUMAYO,3
PUTUMAYO,31
PUTUMAYO,11
PUTUMAYO,0
PUTUMAYO,0
PUTUMAYO,9
PUTUMAYO,0
PUTUMAYO,7
PUTUMAYO,5
SAN ANDRES,4
SAN ANDRES,1003
SAN ANDRES,19
AMAZONAS,16
AMAZONAS,70
AMAZONAS,0
AMAZONAS,0
AMAZONAS,0
AMAZONAS,0
AMAZONAS,0
AMAZONAS,0
AMAZONAS,0
AMAZONAS,0
AMAZONAS,0
AMAZONAS,0
GUAINIA,0
GUAINIA,3
GUAINIA,0
GUAINIA,0
GUAINIA,0
GUAINIA,0
GUAINIA,0
GUAINIA,0
GUAINIA,0
GUAINIA,0
GUAVIARE,0
GUAVIARE,7
GUAVIARE,0
GUAVIARE,5
GUAVIARE,0
VAUPES,0
VAUPES,3
VAUPES,0
VAUPES,0
VAUPES,0
VAUPES,0
VAUPES,0
VICHADA,0
VICHADA,2
VICHADA,5
VICHADA,0
VICHADA,4
